model,kind,accuracy,kappa,precision,recall,f1,auc
RandomForest,ml,0.9711666666666666,0.9422223617494667,0.9690003483106931,0.9706908583391486,0.9698448666550461,0.9967158922846517
MLP_nnet,ml,0.9078333333333334,0.8151575283475262,0.9108348134991119,0.8946266573621773,0.9026579827495159,0.9778775298807239
RPART,ml,0.8953333333333333,0.7901354762387465,0.8954063604240282,0.8841591067690161,0.8897471910112359,0.9397462871480032
LogReg_glmnet,ml,0.8461666666666666,0.6911700050568262,0.853658536585366,0.8182135380321005,0.8355603064314984,0.9252552091706473
